"","EdLevel","Salary"
"1","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",68572.2126436782
"2","Associate degree (A.A., A.S., etc.)",70399.9285714286
"3","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",75916.7591836735
"4","Other doctoral degree (Ph.D., Ed.D., etc.)",76021.6901408451
"5","Professional degree (JD, MD, etc.)",64255.6571428571
"6","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",135849.142857143
"7","Some college/university study without earning a degree",74226.9038461538
"8",NA,72860.7142857143
"9","I never completed any formal education",33727.6666666667
"10","Primary/elementary school",37834
